	OSCC cell	CAF	MSC	MAF	Mst	DC	EC	T.cell	Mac	B.cell	Myo	LNM
LNM_20	0.951586755	0.023371896	0	0	6.22E-05	0	0.004241499	0.005399067	0.014591442	2.16E-05	0.000725596	1
LNM_21	0.894437562	0.07429442	0	0.001090647	0.000144435	0	0.023570673	0.001213308	0.003904486	0.001344471	0	1
LNM_22	0.941726473	0.023348455	0.001142999	0.003801388	0.0001023	0.000474523	0.01192209	0.001766905	0.015690248	2.46E-05	0	1
LNM_23	0.970983913	0.025879637	5.47E-05	0	4.97E-05	0.000212977	0.00088982	0.001929252	0	0	0	1
LNM_24	0.950096157	0.041236793	0	0.000323923	7.04E-05	0	0.006005949	0.002153341	0	8.88E-05	2.47E-05	1
LNM_25	0.688709859	0.168971736	0.001628659	0	0.000748449	0.00581495	0.052278161	0.021014498	0.060031624	0	0.000802064	1
LNM_26	0.910346751	0.064912698	0.00029709	0.008776443	0.000216323	0	0.007599239	0.003063635	0	0.000122913	0.004664908	1
LNM_27	0.870194033	0.048190317	0	0.000556325	0.000114079	0	0.009663741	0.004514003	0.012095675	0	0.054671827	1
LNM_28	0.744186528	0.086962155	0	0	0	0.001247073	0.014097232	0.021209818	0.131819667	0.000122201	0.000355325	1
LNM_29	0.939427471	0.021787492	0.0010652	0.015546825	0	0	0.007568455	0.007988122	0.004684614	0	0.001931821	1
LNM_30	0.663402439	0.130480128	0	0	0.000192247	0.006375031	0.05839939	0.02053359	0.106252461	0.003778581	0.010586133	1
LNM_31	0.913718109	0.059027975	0	0.003935051	0	0	0.001952426	0.002656557	0.018635658	0	7.42E-05	1
LNM_32	0.911846555	0.080700011	0.000546948	0	5.18E-06	0	6.41E-05	0.001730661	0.005092458	0	1.41E-05	1
LNM_33	0.966226332	0.002605765	0.001357147	0.001583985	9.00E-05	0.000140131	0.003403866	0.002074325	0.022159268	1.48E-05	0.000344443	1
LNM_34	0.825252909	0.102277703	0	0	0	0	0.017715851	0.000262842	0.029326298	0	0.025164397	1
LNM_35	0.60298483	0.324193737	0	0.048517487	0.000170614	0	0.005055541	0.00188772	0.014067026	4.51E-06	0.003118534	1
LNM_36	0.986243661	0.010005036	0	0.002071472	0	0	0	0.001621572	0	0	5.83E-05	1
LNM_37	0.973389616	0.014316901	0	0.000943454	0	0	0.000786375	0.007061827	0	0	0.003501827	1
LNM_38	0.820911371	0.150325135	0	0	1.24E-05	0	0.014512296	0.002674735	0	0	0.011564052	1
LNM_39	0.981962692	0.01362137	0	0.003281047	0	0	0	0.001046502	0	0	8.84E-05	1
LNM_40	0.280861897	0.189495338	0	0.025589316	7.68E-05	0.003607843	0.077542674	0.00022215	0.052277242	0.000133738	0.370193033	1
LNM_41	0.821880607	0.066847946	0	0.000712787	0.000100936	0.000502763	0.008862293	0.000837803	0.096690062	0	0.003564803	1
LNM_42	0.761205888	0.16346488	0	0	0.000417141	7.03E-05	0.014027931	0.00787575	0.045612238	0.005911668	0.00141419	1
LNM_43	0.828751864	0.015966121	0.005330236	0	0	0.004330158	0.011292747	0.00084364	0.128699904	0	0.004785329	1
LNM_44	0.965385644	0.013225554	0	0.002616324	0	0	0.004660084	0.00531033	0.00878388	1.82E-05	0	1
LNM_45	0.949571011	0.028868636	0	0.008764225	7.03E-05	0	0.00415483	0.003372869	0	4.35E-06	0.005193729	1
LNM_46	0.679131162	0.106410814	0.000565279	0.008594863	0	0.018592249	0.077872697	0	0.108799571	3.34E-05	0	1
LNM_47	0.733102785	0.165504751	0	0.001526612	0	5.97E-05	0.010280151	0.00051357	0.035478401	0	0.05353401	1
LNM_48	0.984711521	0.013052291	0.001058479	0	1.90E-05	0	0	0.001130806	0	2.79E-05	0	1
