,cell_types,Sample_ID,condition
HNSCC17_P2_C11_S35_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B10_S214_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C03_S27_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H07_S91_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H02_S278_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F11_S71_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H10_S286_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B05_S17_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E05_S53_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B09_S213_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D02_S230_comb,CRC,oscc17,N0_pri
HNSCC17_P7_A03_S99_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G03_S267_comb,CRC,oscc17,N0_pri
HNSCC17_P7_C05_S125_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B07_S19_comb,CRC,oscc17,N0_pri
HNSCC17_P7_A08_S104_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H08_S284_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B06_S18_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D07_S43_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D06_S234_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B01_S205_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G11_S83_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F09_S261_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F03_S255_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F06_S258_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G03_S75_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E11_S251_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G08_S272_comb,CRC,oscc17,N0_pri
HNSCC17_P7_H11_S191_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B10_S22_comb,CRC,oscc17,N0_pri
