	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
pfn1	0.90096635	False	0.09690721649484535	0.048838485458203795	0.048068731036641554
app	0.8985288	False	0.09484536082474226	0.5833180903603439	-0.4884727295356016
sqstm1	0.89785385	False	0.13608247422680408	0.35942930309127497	-0.22334682886447088
banf1	0.89708626	False	0.0742268041237113	0.38778123285165533	-0.31355442872794403
eno1	0.89692765	False	0.134020618556701	0.17980610938357422	-0.04578549082687322
arglu1	0.8935965	False	0.05154639175257736	0.2551673678434242	-0.20362097609084684
cdk15	0.8928242	True	0.9680412371134021	0.9811596853850375	-0.013118448271635441
pcolce	0.8914372	True	0.08556701030927838	0.8152551673678434	-0.729688157058565
uba52	0.89006776	False	0.12989690721649483	0.0828608011706603	0.047036106045834525
dlk1	0.8898345	True	0.9762886597938144	0.9844521675507591	-0.008163507756944743
tpm2	0.88937974	False	0.006185567010309256	0.6641668190963965	-0.6579812520860873
slc3a2	0.8874445	False	0.13505154639175254	0.2899213462593744	-0.15486979986762184
eif4a1	0.88671136	False	0.12783505154639174	0.07956831900493877	0.04826673254145297
ctsd	0.8848028	False	0.09793814432989689	0.34589354307664166	-0.24795539874674477
cpne5	0.8844711	True	0.9268041237113402	0.969270166453265	-0.04246604274192478
s100a10	0.88443565	True	0.22886597938144326	0.365099689043351	-0.13623370966190773
flna	0.8841232	False	0.13505154639175254	0.2793122370587159	-0.14426069066696334
krt16	0.88250494	True	0.013402061855670055	0.6720321931589537	-0.6586301313032836
capn1	0.8792575	False	0.1505154639175258	0.5192976038046461	-0.3687821398871203
p2rx1	0.87916315	True	0.9515463917525773	0.9776842875434425	-0.02613789579086523
flt3	0.8757499	True	0.977319587628866	0.983537589171392	-0.006218001542526053
fbn1	0.8740178	True	0.3061855670103093	0.8668373879641486	-0.5606518209538393
marcks	0.87337404	False	0.1721649484536083	0.46295957563563195	-0.29079462718202365
des	0.87292856	True	0.5371134020618556	0.9431132248033657	-0.40599982274151003
pkp1	0.87255543	True	0.3587628865979381	0.6259374428388513	-0.26717455624091324
ndufs6	0.8719979	False	0.1649484536082474	0.45180171940735325	-0.28685326579910586
os9	0.87166226	False	0.14226804123711345	0.350832266325224	-0.20856422508811057
tagln2	0.8697015	False	0.1989690721649484	0.2339491494421072	-0.034980077277158794
hnrnpul1	0.8692938	False	0.0835051546391753	0.36528260471922447	-0.2817774500800492
actb	0.8658415	True	0.17525773195876293	0.002012072434607659	0.17324565952415527
golph3	0.86488193	False	0.06804123711340204	0.6553868666544722	-0.5873456295410702
msr1	0.8648333	True	0.8979381443298969	0.9732943113224803	-0.0753561669925834
col17a1	0.86189336	False	0.44639175257731956	0.734955185659411	-0.2885634330820914
pkp3	0.86179197	False	0.3927835051546392	0.6813608926284982	-0.28857738747385897
aurkaip1	0.8610525	False	0.08556701030927838	0.5046643497347723	-0.4190973394254939
tuba4a	0.85811	False	0.17628865979381447	0.6134991768794587	-0.4372105170856442
chrna1	0.8579042	True	0.8917525773195876	0.9729284799707335	-0.08117590265114594
tnni1	0.8574881	True	0.41752577319587625	0.5229559173221145	-0.1054301441262383
rrad	0.85473454	True	0.9010309278350516	0.9325041156027072	-0.03147318776765562
ppib	0.85427696	False	0.19278350515463916	0.23742454728370221	-0.04464104212906306
lilrb4	0.8531481	True	0.9721649484536082	0.9828059264678983	-0.010640978014290092
c4orf3	0.85289496	False	0.12061855670103094	0.27839765867934885	-0.1577791019783179
plxnd1	0.85211337	True	0.6010309278350515	0.8335467349551857	-0.2325158071201342
cox8a	0.85164875	False	0.22577319587628863	0.3691238339125663	-0.14335063803627768
sptb	0.8508142	True	0.8597938144329897	0.8942747393451619	-0.03448092491217214
vim	0.85021174	True	0.2536082474226804	0.4174135723431498	-0.1638053249204694
tbxas1	0.8491903	True	0.9422680412371134	0.9465886226449607	-0.0043205814078473015
cxcl14	0.8491241	False	0.3804123711340206	0.619352478507408	-0.23894010737338744
s100a2	0.8476951	False	0.016494845360824795	0.6528260471922444	-0.6363312018314196
capza2	0.8476815	False	0.1701030927835051	0.4079019571977318	-0.2377988644142267
mt1x	0.8472746	False	0.15979381443298968	0.43954636912383394	-0.27975255469084426
eif4h	0.84491557	False	0.2391752577319588	0.282787634900311	-0.0436123771683522
col6a3	0.84449124	True	0.32164948453608244	0.8598865922809584	-0.538237107744876
lilrb2	0.84435487	True	0.9185567010309278	0.9685385037497714	-0.04998180271884356
id1	0.844324	False	0.22061855670103092	0.5546003292482166	-0.33398177254718564
slc25a3	0.8414006	False	0.22371134020618555	0.273276019754893	-0.04956467954870747
rexo2	0.84133655	False	0.16804123711340202	0.5361258459850009	-0.3680846088715989
p4hb	0.8409387	False	0.24432989690721651	0.30656667276385585	-0.06223677585663934
lgals1	0.8406519	True	0.25463917525773194	0.39070788366563014	-0.1360687084078982
s100a11	0.8403539	True	0.2680412371134021	0.24089994512529722	0.027141291988104888
ctsk	0.83952886	True	0.4907216494845361	0.8353758917139199	-0.3446542422293838
aplp2	0.8385623	False	0.2587628865979381	0.36253886958112314	-0.10377598298318502
ncf2	0.8384423	True	0.8639175257731959	0.936345344796049	-0.07242781902285311
apoc1	0.83837384	True	0.7865979381443299	0.9317724528992135	-0.14517451475488363
arf3	0.8377724	False	0.08969072164948455	0.5723431498079385	-0.482652428158454
mrfap1l1	0.8374816	False	0.12268041237113403	0.6520943844887507	-0.5294139721176166
tars	0.83551186	False	0.10103092783505152	0.5441741357234315	-0.44314320788838
itga3	0.834876	False	0.3989690721649485	0.704225352112676	-0.3052562799477275
sned1	0.83486634	True	0.9670103092783505	0.926833729650631	0.04017657962771948
plxnb2	0.83449876	False	0.2556701030927835	0.5833180903603439	-0.3276479872675604
g3bp2	0.8344657	False	0.10103092783505152	0.49240899945125294	-0.3913780716162014
cybb	0.83343524	True	0.7752577319587629	0.9637826961770624	-0.18852496421829945
tns4	0.83274144	True	0.6	0.48125114322297424	0.11874885677702574
tpm1	0.8327137	False	0.17113402061855665	0.5321017011157856	-0.36096768049722894
eif4g1	0.83262515	False	0.23298969072164943	0.41192610206694713	-0.1789364113452977
gjb2	0.8326058	False	0.37010309278350517	0.7380647521492592	-0.367961659365754
itgb4	0.8307962	True	0.5381443298969072	0.6323394914944211	-0.09419516159751395
rhoa	0.8307524	False	0.24742268041237114	0.2381562099871959	0.009266470425175255
ndufv1	0.8306016	False	0.21443298969072166	0.44649716480702395	-0.23206417511630228
s100a9	0.8285636	False	0.07010309278350513	0.7987927565392354	-0.7286896637557303
gsn	0.8277514	False	0.19690721649484533	0.36253886958112314	-0.1656316530862778
pabpc1	0.8276504	False	0.2247422680412371	0.047375160051216336	0.17736710799002076
plec	0.8272072	False	0.30000000000000004	0.48289738430583506	-0.18289738430583502
rbm3	0.82530004	False	0.25051546391752577	0.056155112493140646	0.19436035142438512
chchd2	0.82471246	False	0.2587628865979381	0.28004389976220967	-0.021281013164271556
s100a14	0.8242801	False	0.20721649484536087	0.734955185659411	-0.5277386908140501
vdac1	0.82412165	False	0.24948453608247423	0.45107005670385947	-0.20158552062138524
c1qc	0.8239643	True	0.4948453608247423	0.980062191329797	-0.4852168305050547
csf1r	0.8226664	True	0.790721649484536	0.9603072983354674	-0.1695856488509313
b2m	0.82263976	True	0.21134020618556704	0.002194988110481022	0.20914521807508601
ywhag	0.8209834	False	0.26907216494845365	0.5661240168282422	-0.29705185187978855
cltb	0.8209051	False	0.31237113402061856	0.6702030364002195	-0.35783190237960094
arpc1b	0.8194724	False	0.27113402061855674	0.323943661971831	-0.05280964135327426
maob	0.8191739	True	0.9587628865979382	0.9502469361624292	0.008515950435509012
cndp2	0.81897765	False	0.19793814432989687	0.5866105725260655	-0.38867242819616865
cpvl	0.8186149	True	0.9010309278350516	0.942381562099872	-0.04135063426482044
s100a8	0.8186039	False	0.02989690721649485	0.8170843241265776	-0.7871874169100828
adm	0.8185153	False	0.3237113402061855	0.5847814157673312	-0.2610700755611457
cd74	0.81783354	False	0.2103092783505155	0.3696725809401866	-0.15936330258967113
jup	0.8172977	True	0.5092783505154639	0.5595390524967989	-0.05026070198133503
anp32e	0.8171998	False	0.10824742268041232	0.39363453447960495	-0.2853871117991926
cyc1	0.8162855	False	0.2536082474226804	0.43460764587525147	-0.18099939845257107
il1rl1	0.81565404	True	0.9979381443298969	0.9564660691421255	0.04147207518777141
ly9	0.8148207	True	0.9412371134020618	0.937625754527163	0.003611358874898829
tgfbi	0.81439584	False	0.3917525773195877	0.5308212913846717	-0.13906871406508403
