	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
krt16	0.9741156	True	0.003051881993896277	0.6720321931589537	-0.6689803111650574
jup	0.97373694	True	0.011190233977619535	0.5595390524967989	-0.5483488185191794
timp1	0.97359586	True	0.012207527975584997	0.4732028534845436	-0.4609953255089586
ifitm3	0.9733413	True	0.0050864699898270915	0.16059996341686478	-0.15551349342703769
timp3	0.9730011	True	0.01322482197355035	0.5913663800987745	-0.5781415581252242
cd63	0.97294074	True	0.012207527975584997	0.2498628132430949	-0.2376552852675099
pabpc1	0.9723766	False	0.0	0.047375160051216336	-0.047375160051216336
des	0.9718076	True	0.0935910478128179	0.9431132248033657	-0.8495221769905478
hsp90aa1	0.9713874	False	0.0	0.12328516553868663	-0.12328516553868663
marcks	0.97133183	False	0.010172939979654072	0.46295957563563195	-0.4527866356559779
col6a3	0.9705844	True	0.020345879959308255	0.8598865922809584	-0.8395407123216502
ptges3	0.97056824	False	0.006103763987792443	0.3276019754892995	-0.32149821150150704
ndp	0.97008616	True	0.9888097660223805	0.988293396744101	0.0005163692782794715
fth1	0.96857	True	0.0020345879959308144	0.01188951893177248	-0.009854930935841666
fbn1	0.96851707	True	0.024415055951169884	0.8668373879641486	-0.8424223320129787
plec	0.9683946	False	0.010172939979654072	0.48289738430583506	-0.472724444326181
calr	0.96830577	False	0.00915564598168872	0.03969270166453265	-0.030537055682843928
col6a1	0.96811616	True	0.02746693794506616	0.7100786537406256	-0.6826117157955595
ncl	0.9680471	False	0.00915564598168872	0.21017011157856225	-0.20101446559687353
txn	0.9672245	True	0.01322482197355035	0.304005853301628	-0.29078103132807764
ctsc	0.96677935	False	0.010172939979654072	0.04810682275471012	-0.03793388277505605
tmsb4x	0.9661335	True	0.0	0.01609657947686116	-0.01609657947686116
bsg	0.9660971	False	0.016276703967446626	0.2493140662154747	-0.23303736224802807
b2m	0.96605784	True	0.0010172939979654627	0.002194988110481022	-0.0011776941125155593
rtn4	0.96548474	False	0.010172939979654072	0.4627766599597586	-0.4526037199801045
trim29	0.96547216	True	0.029501525940996975	0.641851106639839	-0.612349580698842
cmya5	0.9653674	True	0.42421159715157686	0.9401865739893909	-0.515974976837814
ier3	0.9653317	True	0.02238046795523907	0.5970367660508505	-0.5746562980956115
ncf2	0.9650635	True	0.34689725330620547	0.936345344796049	-0.5894480914898436
anxa1	0.9650389	True	0.011190233977619535	0.24949698189134806	-0.23830674791372852
jun	0.9650134	True	0.010172939979654072	0.2981525516736784	-0.2879796116940243
hspa8	0.96441376	False	0.003051881993896277	0.11505396012438263	-0.11200207813048635
plaur	0.96414167	True	0.03662258392675488	0.7356868483629047	-0.6990642644361498
oaz1	0.96402806	False	0.012207527975584997	0.0993232119992683	-0.0871156840236833
cav1	0.9639317	False	0.024415055951169884	0.5172855313700384	-0.4928704754188685
aebp1	0.96380466	True	0.017293997965411978	0.7333089445765502	-0.7160149466111382
dcn	0.9636478	True	0.0010172939979654627	0.749222608377538	-0.7482053143795725
sfrp2	0.9635908	True	0.04984740590030523	0.9114688128772636	-0.8616214069769583
prrx1	0.963314	True	0.01322482197355035	0.7797695262483995	-0.7665447042748491
cct5	0.9625739	True	0.01831129196337744	0.44302176696542894	-0.4247104750020515
wars	0.96247405	False	0.012207527975584997	0.5061276751417596	-0.4939201471661746
tnc	0.9620307	False	0.0	0.4925919151271264	-0.4925919151271264
spint2	0.96196324	True	0.034587995930823956	0.5544174135723432	-0.5198294176415192
fscn1	0.9619289	True	0.02339776195320442	0.5397841595024694	-0.516386397549265
hsp90ab1	0.9619072	False	0.010172939979654072	0.10792024876531914	-0.09774730878566507
ifi30	0.96176255	True	0.04883011190233977	0.7236144137552588	-0.674784301852919
cst3	0.9616186	True	0.03967446592065105	0.3186391073715017	-0.27896464145085065
ftl	0.96130735	False	0.003051881993896277	0.030364002194988138	-0.02731212020109186
rpn2	0.9611496	True	0.03255340793489314	0.31479787817815985	-0.2822444702432667
trmt112	0.96019405	False	0.016276703967446626	0.30364002194988116	-0.28736331798243453
cd14	0.9594356	True	0.20244150559511698	0.9200658496433144	-0.7176243440481974
lama4	0.9589243	True	0.05493387589013221	0.7819645143588806	-0.7270306384687484
col7a1	0.9586094	True	0.056968463886063025	0.6323394914944211	-0.5753710276083581
itga5	0.9577416	True	0.06815869786368256	0.6636180720687763	-0.5954593742050938
set	0.9576995	False	0.016276703967446626	0.0711541979147613	-0.05487749394731467
sulf2	0.9576436	False	0.030518819938962327	0.6495335650265228	-0.6190147450875605
f3	0.95739955	False	0.010172939979654072	0.39893908907993414	-0.38876614910028007
nme2	0.95739126	False	0.016276703967446626	0.36290470093287	-0.34662799696542335
fcgr3a	0.95729715	True	0.13530010172939977	0.9802451070056704	-0.8449450052762706
prnp	0.9572644	False	0.029501525940996975	0.4250960307298336	-0.3955945047888366
hnrnpa2b1	0.9572177	False	0.01322482197355035	0.16535577098957377	-0.15213094901602342
arf1	0.9567984	False	0.0264496439471007	0.1970001829156759	-0.1705505389685752
eef1g	0.9565804	False	0.015259409969481164	0.11413938174501559	-0.09887997177553443
rab5c	0.9560844	False	0.02746693794506616	0.3674775928297055	-0.34001065488463933
nono	0.95565695	False	0.02238046795523907	0.22827876349003107	-0.205898295534792
itga3	0.9553804	False	0.006103763987792443	0.704225352112676	-0.6981215881248836
tmbim6	0.95507956	False	0.020345879959308255	0.12785805743552225	-0.107512177476214
cox6a1	0.9546609	False	0.020345879959308255	0.2451070056703859	-0.22476112571107765
sulf1	0.95460874	True	0.09053916581892163	0.8086702030364002	-0.7181310372174786
tnni1	0.95425445	True	0.1536113936927772	0.5229559173221145	-0.36934452362933734
ly6e	0.9541963	False	0.021363173957273607	0.29614047923907083	-0.2747773052817972
plxnd1	0.95415926	True	0.16378433367243128	0.8335467349551857	-0.6697624012827544
rbp1	0.9539029	True	0.042726347914547325	0.49167733674775926	-0.44895098883321194
itga6	0.95316815	True	0.06307222787385558	0.5964880190232302	-0.5334157911493747
lamc2	0.9528486	False	0.004069175991861629	0.5011889518931772	-0.4971197759013156
npc2	0.9526793	False	0.047812817904374416	0.4291201755990488	-0.3813073576946744
slirp	0.9522146	False	0.019328585961342792	0.4402780318273276	-0.4209494458659848
vcan	0.9521913	True	0.10172939979654116	0.8123285165538687	-0.7105991167573276
ap2s1	0.9519332	False	0.038657171922685696	0.4922260837753796	-0.4535689118526939
sod2	0.95181227	True	0.04577822990844349	0.44594841777940375	-0.40017018787096026
coro6	0.95157605	True	0.3001017293997965	0.9048838485458204	-0.6047821191460239
mylpf	0.951337	True	0.71617497456765	0.9877446497164807	-0.2715696751488307
hnrnpa3	0.9511631	False	0.007121057985757906	0.39418328150722515	-0.38706222352146724
dst	0.95107436	False	0.043743641912512676	0.423998536674593	-0.3802548947620803
psme1	0.9510595	False	0.02746693794506616	0.13791841960856044	-0.11045148166349428
inhba	0.9508493	False	0.0020345879959308144	0.7801353576001463	-0.7781007696042155
xbp1	0.95071363	True	0.05900305188199395	0.6407536125845985	-0.5817505607026046
cald1	0.95071167	True	0.038657171922685696	0.38997622096213647	-0.35131904903945077
tymp	0.9503209	False	0.030518819938962327	0.5310042070605451	-0.5004853871215827
ifitm2	0.95029956	True	0.021363173957273607	0.4057069690872508	-0.3843437951299772
cdkn1a	0.9502823	True	0.03255340793489314	0.332174867386135	-0.29962145945124186
plau	0.95020163	False	0.02746693794506616	0.678617157490397	-0.6511502195453308
cltb	0.95008755	False	0.03255340793489314	0.6702030364002195	-0.6376496284653264
slc7a8	0.9500388	True	0.05391658189216686	0.6217303822937625	-0.5678138004015957
