	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
oaz1	0.955433	False	0.010489510489510523	0.0993232119992683	-0.08883370150975778
col1a2	0.95538306	True	0.0	0.7495884397292848	-0.7495884397292848
bsg	0.95516306	False	0.03146853146853146	0.2493140662154747	-0.21784553474694324
prss23	0.95406145	True	0.02447552447552448	0.7128223888787268	-0.6883468644032024
lamb3	0.95344716	True	0.027972027972028024	0.6403877812328517	-0.6124157532608236
plec	0.9533681	False	0.013986013986013957	0.48289738430583506	-0.4689113703198211
tmsb4x	0.9533442	True	0.0034965034965035446	0.01609657947686116	-0.012600075980357617
cav1	0.95329	False	0.027972027972028024	0.5172855313700384	-0.4893135033980104
vim	0.95315963	True	0.005244755244755206	0.4174135723431498	-0.4121688170983946
b2m	0.9526895	True	0.010489510489510523	0.002194988110481022	0.0082945223790295
rtn4	0.9519467	False	0.012237762237762184	0.4627766599597586	-0.4505388977219964
fscn1	0.9516245	True	0.022727272727272707	0.5397841595024694	-0.5170568867751967
itgb4	0.9515372	True	0.019230769230769273	0.6323394914944211	-0.6131087222636519
spint2	0.95133805	True	0.05944055944055948	0.5544174135723432	-0.4949768541317837
set	0.9509504	False	0.01573426573426573	0.0711541979147613	-0.05541993218049557
hspa8	0.9496538	False	0.012237762237762184	0.11505396012438263	-0.10281619788662044
ctsc	0.94964266	False	0.02622377622377625	0.04810682275471012	-0.02188304653093387
cct5	0.9493571	True	0.03321678321678323	0.44302176696542894	-0.4098049837486457
rab5c	0.94925493	False	0.03146853146853146	0.3674775928297055	-0.33600906136117403
col4a1	0.9490779	True	0.027972027972028024	0.652643131516371	-0.624671103544343
trmt112	0.9490505	False	0.02622377622377625	0.30364002194988116	-0.2774162457261049
hnrnpa2b1	0.9490377	False	0.020979020979020935	0.16535577098957377	-0.14437675001055283
arf1	0.9489949	False	0.03321678321678323	0.1970001829156759	-0.16378339969889266
anxa1	0.94866186	True	0.03146853146853146	0.24949698189134806	-0.2180284504228166
col3a1	0.94835216	True	0.0	0.772635814889336	-0.772635814889336
calr	0.9481359	False	0.02622377622377625	0.03969270166453265	-0.013468925440756396
rpn2	0.94812864	True	0.04370629370629375	0.31479787817815985	-0.2710915844718661
ftl	0.9479767	False	0.010489510489510523	0.030364002194988138	-0.019874491705477615
slirp	0.9474495	False	0.029720279720279685	0.4402780318273276	-0.4105577521070479
ier3	0.94717246	True	0.013986013986013957	0.5970367660508505	-0.5830507520648366
tmbim6	0.94609594	False	0.04370629370629375	0.12785805743552225	-0.0841517637292285
nme2	0.94607425	False	0.04370629370629375	0.36290470093287	-0.3191984072265762
ly6e	0.9460532	False	0.047202797202797186	0.29614047923907083	-0.24893768203627364
nono	0.9457023	False	0.036713286713286664	0.22827876349003107	-0.1915654767767444
tnc	0.9454895	False	0.0017482517482517723	0.4925919151271264	-0.49084366337887464
wars	0.94521755	False	0.029720279720279685	0.5061276751417596	-0.4764073954214799
cst3	0.9447999	True	0.036713286713286664	0.3186391073715017	-0.28192582065821503
krt16	0.9438283	True	0.0034965034965035446	0.6720321931589537	-0.6685356896624501
psme1	0.9434331	False	0.03146853146853146	0.13791841960856044	-0.10644988814002898
trim29	0.94339985	True	0.03146853146853146	0.641851106639839	-0.6103825751713076
bgn	0.9433166	True	0.013986013986013957	0.678617157490397	-0.664631143504383
prnp	0.9425942	False	0.05069930069930073	0.4250960307298336	-0.37439673003053286
timp3	0.94255453	True	0.020979020979020935	0.5913663800987745	-0.5703873591197536
hsp90ab1	0.9424505	False	0.03321678321678323	0.10792024876531914	-0.07470346554853591
ap2m1	0.94219905	False	0.047202797202797186	0.2714468629961587	-0.22424406579336154
plaur	0.94181037	True	0.047202797202797186	0.7356868483629047	-0.6884840511601075
xbp1	0.94175744	True	0.05769230769230771	0.6407536125845985	-0.5830613048922908
dcn	0.94104415	True	0.010489510489510523	0.749222608377538	-0.7387330978880274
rbp1	0.9410353	True	0.07342657342657344	0.49167733674775926	-0.4182507633211858
fn1	0.9403287	True	0.0	0.6848362904700933	-0.6848362904700933
thbs1	0.94022655	True	0.0174825174825175	0.646606914212548	-0.6291243967300305
tymp	0.93954724	False	0.029720279720279685	0.5310042070605451	-0.5012839273402654
hnrnpc	0.9394853	False	0.04020979020979021	0.1680995061276751	-0.1278897159178849
gpx4	0.9390065	False	0.034965034965035	0.3680263398573258	-0.3330613048922908
col6a1	0.93887746	True	0.0174825174825175	0.7100786537406256	-0.6925961362581081
cox6a1	0.9387674	False	0.047202797202797186	0.2451070056703859	-0.19790420846758872
pdpn	0.9384317	False	0.04895104895104896	0.6107554417413572	-0.5618043927903082
cdh3	0.9374663	True	0.10139860139860135	0.6484360709712822	-0.5470374695726808
ganab	0.937131	False	0.06118881118881114	0.4497896469727456	-0.38860083578393445
timp1	0.9370696	True	0.027972027972028024	0.4732028534845436	-0.4452308255125156
ifitm2	0.9366968	True	0.020979020979020935	0.4057069690872508	-0.38472794810822986
itga6	0.936599	True	0.07342657342657344	0.5964880190232302	-0.5230614455966568
hdlbp	0.9363926	False	0.045454545454545414	0.36528260471922447	-0.31982805926467905
prrx1	0.93613386	True	0.03321678321678323	0.7797695262483995	-0.7465527430316162
tmed2	0.9360755	False	0.05069930069930073	0.19407353210170109	-0.14337423140240035
